source,distance (DIFF),type
ICD9 079,1.4827586206896548,negative
ICD9 079,1.388888888888889,negative
ICD9 079,1.4999999999999998,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,2.0,negative
ICD9 079,3.0,negative
ICD9 079,1.5,negative
ICD9 079,1.5,negative
ICD9 079,1.5,negative
ICD9 079,1.5,negative
ICD9 079,1.0,negative
ICD9 079,1.2916666666666667,negative
ICD9 079,1.2419354838709675,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,1.1666666666666667,negative
ICD9 079,1.3263157894736841,negative
ICD9 079,1.4,negative
ICD9 079,1.3493975903614457,negative
ICD9 079,0.5,negative
ICD9 079,1.278846153846154,negative
ICD9 079,1.3125,negative
ICD9 079,1.222222222222222,negative
ICD9 079,1.1956521739130435,negative
ICD9 079,1.4444444444444444,negative
ICD9 079,2.0,negative
ICD9 079,1.2499999999999998,negative
ICD9 079,1.3272727272727272,negative
ICD9 079,0.8333333333333333,negative
ICD9 079,1.2142857142857142,negative
ICD9 079,1.5,negative
ICD9 079,2.0,negative
ICD9 079,1.2000000000000002,negative
ICD9 079,1.1111111111111114,negative
ICD9 079,1.333333333333333,negative
ICD9 079,1.0000000000000002,negative
ICD9 079,1.2727272727272725,negative
ICD9 079,1.4,negative
ICD9 079,1.5,negative
ICD9 079,1.5,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.0,negative
ICD9 079,1.2280701754385963,negative
ICD9 079,1.2000000000000002,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
ICD9 079,1.3121019108280256,negative
ICD9 079,0.833333333333333,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,1.8333333333333333,negative
ICD9 079,1.3448275862068972,negative
ICD9 079,2.0,negative
ICD9 079,2.0,negative
ICD9 079,1.252336448598131,negative
ICD9 079,2.0,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.2499999999999998,negative
ICD9 079,1.3636363636363635,negative
ICD9 079,1.6666666666666663,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,1.0,negative
ICD9 079,2.0,negative
ICD9 079,1.7142857142857144,negative
ICD9 079,1.6666666666666667,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,1.4,negative
ICD9 079,1.2702702702702702,negative
ICD9 079,1.6470588235294117,negative
ICD9 079,1.5714285714285714,negative
ICD9 079,1.293103448275862,negative
ICD9 079,2.0,negative
ICD9 079,1.6666666666666665,negative
ICD9 079,1.4571428571428573,negative
ICD9 079,1.5,negative
ICD9 079,1.3181818181818183,negative
ICD9 079,1.4,negative
ICD9 079,1.4285714285714288,negative
ICD9 079,1.5,negative
ICD9 079,0.5,negative
ICD9 079,1.3370786516853934,negative
ICD9 079,1.3369565217391304,negative
ICD9 079,1.0,negative
ICD9 079,1.6666666666666665,negative
ICD9 079,1.0,negative
ICD9 079,1.727272727272727,negative
ICD9 079,1.375,negative
ICD9 079,2.0,negative
ICD9 079,1.380952380952381,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.25,negative
ICD9 079,1.5625,negative
ICD9 079,1.4999999999999998,negative
ICD9 079,1.5,negative
ICD9 079,1.2755102040816324,negative
ICD9 079,2.0,negative
ICD9 079,1.0,negative
ICD9 079,1.3421052631578945,negative
ICD9 079,1.28125,negative
ICD9 079,1.3513513513513513,negative
ICD9 079,1.3396226415094339,negative
ICD9 079,1.3561643835616437,negative
ICD9 079,1.4074074074074077,negative
ICD9 079,1.4886363636363633,negative
ICD9 079,1.4166666666666667,negative
ICD9 079,1.25,negative
ICD9 079,1.3909090909090909,negative
ICD9 079,1.2857142857142856,negative
ICD9 079,1.3428571428571423,negative
ICD9 079,1.1481481481481484,negative
ICD9 079,1.1999999999999997,negative
ICD9 079,1.3000000000000003,negative
ICD9 079,1.4269005847953218,negative
ICD9 079,1.4551724137931037,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.308411214953271,negative
ICD9 079,1.3862660944206011,negative
ICD9 079,0.5,negative
ICD9 079,1.0,negative
ICD9 079,0.9999999999999998,negative
ICD9 079,1.35,negative
ICD9 079,1.3636363636363638,negative
ICD9 079,1.1666666666666665,negative
ICD9 079,0.0,negative
ICD9 079,2.0,negative
ICD9 079,1.5999999999999999,negative
ICD9 079,1.2857142857142858,negative
ICD9 079,1.4098360655737703,negative
ICD9 079,1.233333333333333,negative
ICD9 079,1.2857142857142858,negative
ICD9 079,1.5,negative
ICD9 079,1.4545454545454544,negative
ICD9 079,1.4444444444444446,negative
ICD9 079,1.2941176470588238,negative
ICD9 079,1.2500000000000002,negative
ICD9 079,1.5,negative
ICD9 079,1.1276595744680848,negative
ICD9 079,1.0,negative
ICD9 079,1.4,negative
ICD9 079,1.571428571428572,negative
ICD9 079,1.0,negative
ICD9 079,1.440476190476191,negative
ICD9 079,2.0,negative
ICD9 079,1.1666666666666667,negative
ICD9 079,1.4126984126984126,negative
ICD9 079,1.3777777777777778,negative
ICD9 079,0.0,negative
ICD9 079,1.2887700534759359,negative
ICD9 079,1.3333333333333335,positive
ICD9 079,1.4113475177304966,positive
ICD9 079,1.6153846153846156,positive
ICD9 079,1.3333333333333333,positive
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.2222222222222221,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.08333333333333337,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.12621359223300987,negative
ICD9 162,1.0,negative
ICD9 162,0.0,negative
ICD9 162,0.25,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.2666666666666666,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.045454545454545636,negative
ICD9 162,0.050000000000000044,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.2222222222222221,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,1.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.036036036036036,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.026086956521739202,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0144927536231884,negative
ICD9 162,0.03623188405797101,negative
ICD9 162,0.04094488188976386,negative
ICD9 162,0.0,negative
ICD9 162,0.09186906019007401,negative
ICD9 162,0.0,negative
ICD9 162,0.05235602094240843,negative
ICD9 162,0.0,negative
ICD9 162,0.03749999999999998,negative
ICD9 162,0.0,negative
ICD9 162,0.012658227848101278,negative
ICD9 162,0.0,negative
ICD9 162,0.0144927536231884,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.027522935779816515,negative
ICD9 162,0.027027027027027098,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.10306406685236791,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.01315789473684209,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.011627906976744207,negative
ICD9 162,0.03125,negative
ICD9 162,0.0,negative
ICD9 162,0.09475218658892115,negative
ICD9 162,0.03370786516853941,negative
ICD9 162,0.0,negative
ICD9 162,0.07027027027027033,negative
ICD9 162,0.04115226337448563,negative
ICD9 162,0.0,negative
ICD9 162,0.038461538461538436,negative
ICD9 162,0.0,negative
ICD9 162,0.036363636363636376,negative
ICD9 162,0.04255319148936171,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.007751937984496193,negative
ICD9 162,0.01574803149606302,negative
ICD9 162,0.0,negative
ICD9 162,0.029585798816567976,negative
ICD9 162,0.0,negative
ICD9 162,0.006172839506172867,negative
ICD9 162,0.05660377358490565,negative
ICD9 162,0.028037383177570097,negative
ICD9 162,0.0,negative
ICD9 162,0.04637681159420293,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.06686478454680533,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.013888888888888895,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.02083333333333337,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0135135135135135,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.012048192771084293,negative
ICD9 162,0.0,negative
ICD9 162,0.013157894736842105,negative
ICD9 162,0.0,negative
ICD9 162,0.021505376344086002,negative
ICD9 162,0.06113537117903933,negative
ICD9 162,0.04651162790697683,negative
ICD9 162,0.125,negative
ICD9 162,0.1818181818181821,negative
ICD9 162,0.1499999999999999,negative
ICD9 162,0.16666666666666652,negative
ICD9 162,0.13793103448275823,negative
ICD9 162,0.2142857142857144,negative
ICD9 162,0.16666666666666674,negative
ICD9 162,0.09935897435897445,negative
ICD9 162,0.05882352941176472,negative
ICD9 162,0.19999999999999996,negative
ICD9 162,0.10447761194029859,negative
ICD9 162,0.09302325581395365,negative
ICD9 162,0.08965517241379306,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.16666666666666674,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.21126760563380298,negative
ICD9 162,0.11267605633802802,negative
ICD9 162,0.14473684210526327,negative
ICD9 162,0.0,negative
ICD9 162,0.0909090909090906,negative
ICD9 162,0.078125,negative
ICD9 162,0.2222222222222221,negative
ICD9 162,0.17525773195876293,negative
ICD9 162,0.12807881773399044,negative
ICD9 162,0.022058823529411686,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0731707317073167,negative
ICD9 162,0.04999999999999993,negative
ICD9 162,0.024390243902439046,negative
ICD9 162,0.13559322033898313,negative
ICD9 162,0.11904761904761907,negative
ICD9 162,0.02941176470588225,negative
ICD9 162,0.03749999999999998,negative
ICD9 162,0.1428571428571428,negative
ICD9 162,0.11557788944723613,negative
ICD9 162,0.14150943396226423,negative
ICD9 162,0.14782608695652177,negative
ICD9 162,0.1485148514851482,negative
ICD9 162,0.11188811188811187,negative
ICD9 162,0.10820045558086577,negative
ICD9 162,0.11044776119402977,negative
ICD9 162,0.1470588235294117,negative
ICD9 162,0.1499999999999999,negative
ICD9 162,0.12090680100755669,negative
ICD9 162,0.1875,negative
ICD9 162,0.1428571428571428,negative
ICD9 162,0.33333333333333326,negative
ICD9 162,0.13229571984435795,negative
ICD9 162,0.16386554621848748,negative
ICD9 162,0.1419753086419755,negative
ICD9 162,0.0,negative
ICD9 162,0.10000000000000009,negative
ICD9 162,0.0,negative
ICD9 162,0.1028368794326242,negative
ICD9 162,0.33333333333333326,negative
ICD9 162,0.0,negative
ICD9 162,0.2608695652173916,negative
ICD9 162,0.06382978723404253,negative
ICD9 162,0.10681818181818192,negative
ICD9 162,0.10681818181818192,negative
ICD9 162,0.10775862068965547,negative
ICD9 162,0.0,negative
ICD9 162,0.125,negative
ICD9 162,0.06666666666666643,negative
ICD9 162,0.21649484536082508,negative
ICD9 162,0.09090909090909105,negative
ICD9 162,0.09999999999999987,negative
ICD9 162,0.11904761904761907,negative
ICD9 162,0.15853658536585358,negative
ICD9 162,0.09322033898305082,negative
ICD9 162,0.0,negative
ICD9 162,0.25,negative
ICD9 162,0.14285714285714302,negative
ICD9 162,0.022222222222222365,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.0,negative
ICD9 162,0.07692307692307687,negative
ICD9 162,0.11061946902654851,negative
ICD9 162,0.19999999999999996,negative
ICD9 162,0.0625,negative
ICD9 162,0.10769230769230764,negative
ICD9 162,0.1298701298701299,negative
ICD9 162,0.11111111111111105,negative
ICD9 162,0.14814814814814825,negative
ICD9 162,0.13461538461538458,negative
ICD9 162,0.13207547169811318,negative
ICD9 162,0.13207547169811318,negative
ICD9 162,0.13888888888888884,negative
ICD9 162,0.1372549019607845,negative
ICD9 162,0.1029411764705882,negative
